id_envio,fecha_envio,id_ruta,id_vehiculo,peso_kg,volumen_m3,tipo_carga,estado,fecha_entrega,origen,destino,distancia_km,tiempo_estimado_hrs,tipo_via,peaje_total,placa,tipo,capacidad_kg,capacidad_m3,año_fabricacion,estado_vehiculo,km_recorridos,cantidad_incidencias,costo_total_incidencias,tipo_incidencia_principal,tiene_incidencia,dias_entrega,velocidad_promedio_km_h,uso_capacidad_kg,uso_capacidad_m3,entrega_tardia,peso_kg_original,distancia_km_original,velocidad_promedio_km_h_original,uso_capacidad_kg_original,uso_capacidad_m3_original,uso_capacidad_kg_recalculado,uso_capacidad_m3_recalculado,antiguedad_vehiculo,densidad_carga,riesgo_operacional,riesgo_velocidad,vehiculo_exigido,sobrecarga_kg,ruta_larga,velocidad_alta,vehiculo_riesgoso_estado,via_compleja,peso_kg_log,distancia_km_log,volumen_m3_log,velocidad_promedio_km_h_log,densidad_carga_log,riesgo_operacional_log,riesgo_velocidad_log,km_recorridos_log
1.0,2023-01-01,39.0,46.0,12675.8,28.48,peligrosa,entregado,2023-01-05,valparaíso,chillán,919.3,16.7,urbana,1950.0,ouuc-52,camión,10000.0,20.5,2022.0,en mantención,17043.0,0.0,0.0,sin incidencia,0.0,4.0,55.047904191616766,1.26758,1.389268292682927,1,12675.8,919.3,55.047904191616766,1.26758,1.389268292682927,1.26758,1.389268292682927,4.0,445.06162002738665,1165.2862939999998,50605.53832335329,1,1,0,0,1,0,9.447528830210977,6.824699703844811,3.383712067321136,4.026206757054883,6.100457103973026,7.061579871934563,10.831836062804452,9.743553514619803
2.0,,3.0,27.0,13.6,24.93,peligrosa,entregado,2023-01-05,rancagua,rengo,679.6,18.4,urbana,2447.0,fgkf-38,van,1000.0,22.1,2010.0,operativo,88004.0,0.0,0.0,sin incidencia,0.0,7.0,36.934782608695656,0.0136,1.128054298642534,1,13.6,679.6,36.934782608695656,0.0136,1.128054298642534,0.0136,1.128054298642534,16.0,0.5455055954434238,9.24256,25100.87826086957,0,0,0,0,0,0,2.681021528714291,6.522974762066806,3.255400599550573,3.6358684381474324,0.4353511030580344,2.326551588366569,10.13069795343051,11.38514891002807
3.0,2023-01-02,73.0,18.0,2536.0,50.55,refrigerada,entregado,,maipú,san antonio,468.4,5.2,ruta nacional,11768.0,agdn-22,furgón,20000.0,38.9,2023.0,en mantención,243705.0,0.0,0.0,sin incidencia,0.0,7.0,90.07692307692308,0.1268,1.2994858611825193,1,2536.0,468.4,90.07692307692308,0.1268,1.2994858611825193,0.1268,1.2994858611825193,3.0,50.16715791972464,59.393119999999996,42192.03076923077,0,0,0,0,1,1,7.838737559599282,6.151455283416923,3.942552210462969,4.511704457982415,3.935097879350016,4.100875191168074,10.650010338737168,12.40371785974518
4.0,2023-01-03,49.0,45.0,466.0,13.88,peligrosa,en tránsito,2023-01-07,las condes,osorno,1642.4,18.9,ruta nacional,7202.0,ialh-88,van,1000.0,25.3,2015.0,operativo,224573.5,1.0,1747372.0,desvío de ruta,1.0,4.0,86.89947089947091,0.466,0.5486166007905139,1,466.0,1642.4,86.89947089947091,0.466,0.5486166007905139,0.466,0.5486166007905139,11.0,33.57106836683236,765.3584000000001,142723.69100529104,0,0,1,0,0,1,6.1463292576688975,7.4045225454970875,2.700018029404946,4.476193785326837,3.5430171579058807,6.641649945433974,11.86867281586456,12.321962779667231
5.0,,17.0,36.0,4928.9,0.44,refrigerada,retrasado,2023-01-07,maipú,rancagua,1556.6,17.9,urbana,3799.0,glfy-29,camioneta,5000.0,49.1,2023.0,operativo,138259.0,0.0,0.0,sin incidencia,0.0,7.0,86.9608938547486,0.98578,0.0089613034623217,1,4928.9,1556.6,86.9608938547486,0.98578,0.0089613034623217,0.9857799999999999,0.008961303462321792,3.0,11176.643990929704,1534.4651479999998,135363.32737430168,1,0,1,0,0,0,8.503073982855353,7.35090145405799,0.3646431135879093,4.47689232769437,9.321670990237614,7.336588642130612,11.815725143701837,11.836891249499256
504.5,,39.0,49.0,13623.8,39.11,refrigerada,entregado,,valparaíso,chillán,919.3,16.7,urbana,1950.0,qsou-27,camión,20000.0,18.5,2018.0,operativo,311037.0,0.0,0.0,sin incidencia,0.0,7.0,55.047904191616766,0.68119,2.114054054054054,1,13623.8,919.3,55.047904191616766,0.68119,2.114054054054054,0.68119,2.114054054054054,8.0,348.3367850476848,626.2179669999999,50605.53832335329,0,0,0,0,0,0,9.519646940524627,6.824699703844811,3.6916256797819615,4.026206757054883,5.8560364570257555,6.441294114990694,10.831836062804452,12.647670370192387
7.0,2023-01-05,55.0,51.0,1463.3,12.23,general,entregado,,viña del mar,viña del mar,669.1,3.0,autopista,13286.0,wstt-51,van,10000.0,47.4,2024.0,operativo,219137.0,0.0,0.0,sin incidencia,0.0,7.0,180.0,0.14633,0.2580168776371308,1,1463.3,669.1,223.03333333333333,0.14633,0.2580168776371308,0.14633,0.2580168776371308,2.0,119.638623170632,97.909403,120438.0,0,0,0,1,0,0,7.289132591561211,6.507426954979125,2.5824869781268642,5.198497031265826,4.792799491484242,4.5942043099434215,11.698898679671796,12.297456947331993
8.0,,23.0,27.0,9100.1,53.42,peligrosa,entregado,2023-01-10,chillán,valparaíso,1884.9,16.5,urbana,9906.0,fgkf-38,van,1000.0,22.1,2010.0,operativo,88004.0,0.0,0.0,sin incidencia,0.0,7.0,114.23636363636363,5.0,2.4171945701357465,1,9100.1,1884.9,114.23636363636363,9.1001,2.4171945701357465,5.0,2.4171945701357465,16.0,170.3468673368151,9424.5,215324.12181818183,1,1,1,1,0,0,9.11615056432053,7.5421604395183195,3.9967317333551002,4.746985355018395,5.143689965905553,9.151174061306968,12.27990435939822,11.38514891002807
9.0,2023-01-06,34.0,9.0,6777.9,51.56,refrigerada,entregado,,ovalle,rancagua,1824.2,11.7,urbana,3064.0,vutp-52,van,5000.0,39.1,2022.0,fuera de servicio,77965.0,1.0,1309310.0,retraso,1.0,7.0,155.91452991452994,1.35558,1.3186700767263426,1,6777.9,1824.2,155.91452991452994,1.35558,1.3186700767263426,1.35558,1.3186700767263426,4.0,131.45400593471808,2472.849036,284419.2854700855,1,1,1,1,1,0,8.821570125883897,7.5094448490532475,3.961955374176355,5.05570126166245,4.886235460143445,7.813530530880438,12.558208301618208,11.264028113204928
10.0,2023-01-07,69.0,55.0,14077.6,4.7,perecible,entregado,,cauquenes,san antonio,1702.3,3.0,urbana,10084.0,agdn-22,furgón,5000.0,55.5,2021.0,en mantención,398945.0,0.0,0.0,sin incidencia,0.0,7.0,180.0,2.81552,0.0846846846846847,1,14077.6,1702.3,567.4333333333333,2.81552,0.0846846846846847,2.8155200000000002,0.0846846846846847,5.0,2994.596894277813,4792.859696,306414.0,1,1,1,1,1,0,9.552411192950181,7.440322824866532,1.7404661748405046,5.198497031265826,8.004898787613362,8.475091147982825,12.632695671263864,12.896581348367075
11.0,2023-01-08,39.0,39.0,18466.0,6.47,perecible,en tránsito,2023-01-12,valparaíso,chillán,919.3,16.7,urbana,1950.0,,,,,,,,0.0,0.0,sin incidencia,0.0,4.0,55.047904191616766,0.0,0.0,1,18466.0,919.3,55.047904191616766,0.0,0.0,,,,2853.6547674238914,,50605.53832335329,0,0,0,0,0,0,9.823740634445873,6.824699703844811,2.010894999144726,4.026206757054883,7.956706192685237,,10.831836062804452,
12.0,,47.0,1.0,7558.6,29.76,peligrosa,en tránsito,,san fernando,la serena,29.6,3.2,autopista,8950.0,urlr-78,camioneta,20000.0,49.2,2018.0,operativo,267419.0,0.0,0.0,sin incidencia,0.0,7.0,9.25,0.37793,0.6048780487804878,1,7558.6,29.6,9.25,0.37793,0.6048780487804878,0.37793000000000004,0.6048780487804878,8.0,253.97668089109908,11.186728000000002,273.8,0,0,0,0,0,0,8.930573557720882,3.4210000089583352,3.4262151446374434,2.327277705584417,5.541172093490964,2.500347490727932,5.616043560348194,12.496575735168657
13.0,,3.0,7.0,452.8,36.59,general,devuelto,,rancagua,rengo,679.6,18.4,urbana,2447.0,bfiv-96,camioneta,10000.0,48.7,2022.0,operativo,224573.5,0.0,0.0,sin incidencia,0.0,7.0,36.934782608695656,0.04528,0.7513347022587269,1,452.8,679.6,36.934782608695656,0.04528,0.7513347022587269,0.04528,0.7513347022587269,4.0,12.37462764067667,30.772288000000003,25100.87826086957,0,0,0,0,0,0,6.117656572345742,6.522974762066806,3.6267380575760866,3.6358684381474324,2.5933594524451236,3.458594463314972,10.13069795343051,12.321962779667231
14.0,,28.0,29.0,6514.7,16.57,general,cancelado,,las condes,san antonio,550.1,6.7,ruta nacional,10017.0,ylkd-34,camión,10000.0,14.8,2018.0,fuera de servicio,91015.0,0.0,0.0,sin incidencia,0.0,7.0,82.1044776119403,0.65147,1.1195945945945946,1,6514.7,550.1,82.1044776119403,0.65147,1.1195945945945946,0.65147,1.1195945945945946,8.0,393.1386156538531,358.373647,45165.67313432836,0,0,0,0,1,1,8.781969928146385,6.311916280889189,2.866192902199006,4.4200985826232895,5.9767026638054,5.884362646674963,10.718114773829235,11.418790594219553
15.0,2023-01-11,3.0,7.0,40000.0,43.04,refrigerada,en tránsito,,rancagua,rengo,679.6,18.4,urbana,2447.0,bfiv-96,camioneta,10000.0,48.7,2022.0,operativo,224573.5,0.0,0.0,sin incidencia,0.0,7.0,36.934782608695656,5.0,0.8837782340862422,1,417470.0,679.6,36.934782608695656,41.747,0.8837782340862422,4.0,0.8837782340862422,4.0,929.3464371180968,2718.4,25100.87826086957,1,1,0,0,0,0,10.596659732783579,6.522974762066806,3.785098311854479,3.6358684381474324,6.835557029811761,7.908166546721586,10.13069795343051,12.321962779667231
